Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Training Stress ScoreÂ®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Elliptical,12/24/2019 9:15,FALSE,Elliptical,0,304,0:45:09,114,131,1.5,4,138,--,--,--,--,0,0,0,--,0,0,0,45:09:00,0:00,77,0:00,No,00:00.0,1,0,--,--,--
Running,12/23/2019 7:34,FALSE,Santee Running,7.14,758,1:10:25,144,162,3.6,168,180,9:51,2:59,394,253,0.97,0,0,--,0,0,0,1:10:25,0:00,59,0:00,No,01:18.4,8,0,--,--,--
Running,12/22/2019 18:09,FALSE,Running,0.02,--,00:20.7,55,63,0,101,134,15:58,11:30,--,--,1,0,0,--,0,0,0,00:20.7,0:00,78.8,0:00,No,00:00.0,1,0,--,--,--
Elliptical,12/22/2019 18:05,FALSE,Elliptical,0,6,01:11.9,100,115,0,2,122,--,--,--,--,0,0,0,--,0,0,0,01:11.9,0:00,78.8,0:00,No,00:00.0,1,0,--,--,--
Elliptical,12/21/2019 12:34,FALSE,Elliptical,0,650,1:12:16,132,163,3.3,21,138,--,--,--,--,0,0,0,--,0,0,0,1:12:16,0:00,77,0:00,No,00:00.0,1,0,--,--,--
Treadmill Running,12/20/2019 15:35,FALSE,Treadmill Running,0.69,90,0:10:08,122,133,1.1,159,169,14:36,12:53,--,--,0.7,0,0,--,0,0,0,10:08,0:00,77,0:00,No,00:00.0,1,0,--,--,--
Treadmill Running,12/19/2019 16:13,FALSE,Treadmill Running,2.12,271,0:30:22,125,144,2.2,160,168,14:19,13:08,--,--,0.7,0,0,--,0,0,0,30:22:00,0:00,75.2,0:00,No,01:48.6,3,0,--,--,--
Elliptical,12/18/2019 15:04,FALSE,Elliptical,0,576,1:00:12,134,160,3.1,63,138,--,--,--,--,0,0,0,--,0,0,0,1:00:12,0:00,77,0:00,No,00:00.0,1,0,--,--,--
Treadmill Running,12/17/2019 11:51,FALSE,Treadmill Running,4.46,604,1:00:06,136,152,3.1,164,175,13:28,11:53,--,--,0.73,0,0,--,0,0,0,1:00:06,0:00,75.2,0:00,No,06:12.5,5,0,--,--,--
Elliptical,12/16/2019 14:08,FALSE,Elliptical,0,530,0:47:19,149,173,3.7,88,138,--,--,--,--,0,0,0,--,0,0,0,47:19:00,0:00,77,0:00,No,00:00.0,1,0,--,--,--
Treadmill Running,12/12/2019 15:52,FALSE,Treadmill Running,2.19,323,0:30:08,138,149,2.7,162,169,13:46,13:00,--,--,0.72,0,0,--,0,0,0,30:08:00,0:00,75.2,0:00,No,02:35.0,3,0,--,--,--
Elliptical,12/11/2019 15:32,FALSE,Elliptical,0,754,1:00:22,140,168,5,109,137,--,--,--,--,0,0,0,--,0,0,0,1:00:22,0:00,78.8,0:00,No,00:00.0,1,0,--,--,--
Treadmill Running,12/10/2019 15:44,FALSE,Treadmill Running,2.65,318,0:36:06,125,149,2.2,164,171,13:38,12:43,--,--,0.72,0,0,--,0,0,0,36:06:00,0:00,73.4,0:00,No,08:45.3,3,0,--,--,--
Elliptical,12/9/2019 14:27,FALSE,Elliptical,0,507,0:45:05,130,154,3.5,97,225,--,--,--,--,0,0,0,--,0,0,0,45:05:00,0:00,77,0:00,No,00:00.0,1,0,--,--,--
Running,12/7/2019 6:45,FALSE,San Diego Running,16.05,"1,462",2:31:38,146,171,5,166,191,9:27,8:02,669,712,1.03,0,0,--,0,0,0,2:31:38,0:00,64.4,0:00,No,00:33.3,17,0,--,--,--
Elliptical,12/6/2019 11:15,FALSE,Elliptical,0,349,0:30:04,138,163,3.9,89,131,--,--,--,--,0,0,0,--,0,0,0,30:04:00,0:00,77,0:00,No,00:00.0,1,0,--,--,--
Treadmill Running,12/5/2019 15:22,FALSE,Treadmill Running,0.69,240,0:40:06,111,132,1.5,67,145,58:03:00,17:06,--,--,0.41,0,0,--,0,0,0,40:06:00,0:00,77,0:00,No,00:00.0,1,0,--,--,--
Treadmill Running,12/3/2019 17:04,FALSE,Treadmill Running,4.7,504,0:45:05,150,168,4.2,165,185,9:36,5:27,--,--,1.39,0,0,--,0,0,0,45:05:00,0:00,77,0:00,No,03:06.4,7,0,--,--,--
